tenant_id,dataset_version_id,store_id,biz_date,visitor_sessions,quality_status
t_demo,demo_20260921_v1,s1,2026-07-26,30000,COMPLETE
t_demo,demo_20260921_v1,s1,2026-07-27,28800,COMPLETE
t_demo,demo_20260921_v1,s1,2026-07-28,29400,COMPLETE
t_demo,demo_20260921_v1,s1,2026-07-29,30600,COMPLETE
t_demo,demo_20260921_v1,s1,2026-07-30,29100,COMPLETE
t_demo,demo_20260921_v1,s1,2026-07-31,31200,COMPLETE
t_demo,demo_20260921_v1,s1,2026-08-01,30900,COMPLETE
t_demo,demo_20260921_v1,s1,2026-08-02,30000,COMPLETE
t_demo,demo_20260921_v1,s1,2026-08-03,28800,COMPLETE
t_demo,demo_20260921_v1,s1,2026-08-04,29400,COMPLETE
t_demo,demo_20260921_v1,s1,2026-08-05,30600,COMPLETE
t_demo,demo_20260921_v1,s1,2026-08-06,29100,COMPLETE
t_demo,demo_20260921_v1,s1,2026-08-07,31200,COMPLETE
t_demo,demo_20260921_v1,s1,2026-08-08,30900,COMPLETE
t_demo,demo_20260921_v1,s1,2026-08-09,30000,COMPLETE
t_demo,demo_20260921_v1,s1,2026-08-10,28800,COMPLETE
t_demo,demo_20260921_v1,s1,2026-08-11,29400,COMPLETE
t_demo,demo_20260921_v1,s1,2026-08-12,30600,COMPLETE
t_demo,demo_20260921_v1,s1,2026-08-13,29100,COMPLETE
t_demo,demo_20260921_v1,s1,2026-08-14,31200,COMPLETE
t_demo,demo_20260921_v1,s1,2026-08-15,30900,COMPLETE
t_demo,demo_20260921_v1,s1,2026-08-16,30000,COMPLETE
t_demo,demo_20260921_v1,s1,2026-08-17,28800,COMPLETE
t_demo,demo_20260921_v1,s1,2026-08-18,29400,COMPLETE
t_demo,demo_20260921_v1,s1,2026-08-19,30600,COMPLETE
t_demo,demo_20260921_v1,s1,2026-08-20,29100,COMPLETE
t_demo,demo_20260921_v1,s1,2026-08-21,31200,COMPLETE
t_demo,demo_20260921_v1,s1,2026-08-22,30900,COMPLETE
t_demo,demo_20260921_v1,s1,2026-08-23,30000,COMPLETE
t_demo,demo_20260921_v1,s1,2026-08-24,28800,COMPLETE
t_demo,demo_20260921_v1,s1,2026-08-25,29400,COMPLETE
t_demo,demo_20260921_v1,s1,2026-08-26,30600,COMPLETE
t_demo,demo_20260921_v1,s1,2026-08-27,29100,COMPLETE
t_demo,demo_20260921_v1,s1,2026-08-28,31200,COMPLETE
t_demo,demo_20260921_v1,s1,2026-08-29,30900,COMPLETE
t_demo,demo_20260921_v1,s1,2026-08-30,30000,COMPLETE
t_demo,demo_20260921_v1,s1,2026-08-31,28800,COMPLETE
t_demo,demo_20260921_v1,s1,2026-09-01,29400,COMPLETE
t_demo,demo_20260921_v1,s1,2026-09-02,30600,COMPLETE
t_demo,demo_20260921_v1,s1,2026-09-03,29100,COMPLETE
t_demo,demo_20260921_v1,s1,2026-09-04,31200,COMPLETE
t_demo,demo_20260921_v1,s1,2026-09-05,30900,COMPLETE
t_demo,demo_20260921_v1,s1,2026-09-06,30000,COMPLETE
t_demo,demo_20260921_v1,s1,2026-09-07,28800,COMPLETE
t_demo,demo_20260921_v1,s1,2026-09-08,29400,COMPLETE
t_demo,demo_20260921_v1,s1,2026-09-09,30600,COMPLETE
t_demo,demo_20260921_v1,s1,2026-09-10,29100,COMPLETE
t_demo,demo_20260921_v1,s1,2026-09-11,31200,COMPLETE
t_demo,demo_20260921_v1,s1,2026-09-12,30900,COMPLETE
t_demo,demo_20260921_v1,s1,2026-09-13,30000,COMPLETE
t_demo,demo_20260921_v1,s1,2026-09-14,28800,COMPLETE
t_demo,demo_20260921_v1,s1,2026-09-15,29400,COMPLETE
t_demo,demo_20260921_v1,s1,2026-09-16,30600,COMPLETE
t_demo,demo_20260921_v1,s1,2026-09-17,29100,COMPLETE
t_demo,demo_20260921_v1,s1,2026-09-18,31200,COMPLETE
t_demo,demo_20260921_v1,s1,2026-09-19,30900,COMPLETE
t_demo,demo_20260921_v1,s1,2026-09-20,30000,COMPLETE
t_demo,demo_20260921_v1,s2,2026-07-26,11000,COMPLETE
t_demo,demo_20260921_v1,s2,2026-07-27,10560,COMPLETE
t_demo,demo_20260921_v1,s2,2026-07-28,10780,COMPLETE
t_demo,demo_20260921_v1,s2,2026-07-29,11220,COMPLETE
t_demo,demo_20260921_v1,s2,2026-07-30,10670,COMPLETE
t_demo,demo_20260921_v1,s2,2026-07-31,11440,COMPLETE
t_demo,demo_20260921_v1,s2,2026-08-01,11330,COMPLETE
t_demo,demo_20260921_v1,s2,2026-08-02,11000,COMPLETE
t_demo,demo_20260921_v1,s2,2026-08-03,10560,COMPLETE
t_demo,demo_20260921_v1,s2,2026-08-04,10780,COMPLETE
t_demo,demo_20260921_v1,s2,2026-08-05,11220,COMPLETE
t_demo,demo_20260921_v1,s2,2026-08-06,10670,COMPLETE
t_demo,demo_20260921_v1,s2,2026-08-07,11440,COMPLETE
t_demo,demo_20260921_v1,s2,2026-08-08,11330,COMPLETE
t_demo,demo_20260921_v1,s2,2026-08-09,11000,COMPLETE
t_demo,demo_20260921_v1,s2,2026-08-10,10560,COMPLETE
t_demo,demo_20260921_v1,s2,2026-08-11,10780,COMPLETE
t_demo,demo_20260921_v1,s2,2026-08-12,11220,COMPLETE
t_demo,demo_20260921_v1,s2,2026-08-13,10670,COMPLETE
t_demo,demo_20260921_v1,s2,2026-08-14,11440,COMPLETE
t_demo,demo_20260921_v1,s2,2026-08-15,11330,COMPLETE
t_demo,demo_20260921_v1,s2,2026-08-16,11000,COMPLETE
t_demo,demo_20260921_v1,s2,2026-08-17,10560,COMPLETE
t_demo,demo_20260921_v1,s2,2026-08-18,10780,COMPLETE
t_demo,demo_20260921_v1,s2,2026-08-19,11220,COMPLETE
t_demo,demo_20260921_v1,s2,2026-08-20,10670,COMPLETE
t_demo,demo_20260921_v1,s2,2026-08-21,11440,COMPLETE
t_demo,demo_20260921_v1,s2,2026-08-22,11330,COMPLETE
t_demo,demo_20260921_v1,s2,2026-08-23,11000,COMPLETE
t_demo,demo_20260921_v1,s2,2026-08-24,10560,COMPLETE
t_demo,demo_20260921_v1,s2,2026-08-25,10780,COMPLETE
t_demo,demo_20260921_v1,s2,2026-08-26,11220,COMPLETE
t_demo,demo_20260921_v1,s2,2026-08-27,10670,COMPLETE
t_demo,demo_20260921_v1,s2,2026-08-28,11440,COMPLETE
t_demo,demo_20260921_v1,s2,2026-08-29,11330,COMPLETE
t_demo,demo_20260921_v1,s2,2026-08-30,11000,COMPLETE
t_demo,demo_20260921_v1,s2,2026-08-31,10560,COMPLETE
t_demo,demo_20260921_v1,s2,2026-09-01,10780,COMPLETE
t_demo,demo_20260921_v1,s2,2026-09-02,11220,COMPLETE
t_demo,demo_20260921_v1,s2,2026-09-03,10670,COMPLETE
t_demo,demo_20260921_v1,s2,2026-09-04,11440,COMPLETE
t_demo,demo_20260921_v1,s2,2026-09-05,11330,COMPLETE
t_demo,demo_20260921_v1,s2,2026-09-06,11000,COMPLETE
t_demo,demo_20260921_v1,s2,2026-09-07,10560,COMPLETE
t_demo,demo_20260921_v1,s2,2026-09-08,10780,COMPLETE
t_demo,demo_20260921_v1,s2,2026-09-09,11220,COMPLETE
t_demo,demo_20260921_v1,s2,2026-09-10,10670,COMPLETE
t_demo,demo_20260921_v1,s2,2026-09-11,11440,COMPLETE
