tenant_id,dataset_version_id,store_id,order_id,item_id,product_id,quantity,allocated_paid_cents
t_demo,demo_20260921_v1,s1,O20260726000001,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000002,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000003,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000004,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000005,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000006,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000007,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000008,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000009,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000010,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000011,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000012,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000013,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000014,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000015,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000016,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000017,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000018,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000019,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000020,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000021,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000022,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000023,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000024,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000025,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000026,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000027,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000028,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000029,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000030,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000031,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000032,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000033,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000034,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000035,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000036,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000037,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000038,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000039,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000040,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000041,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000042,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000043,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000044,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000045,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000046,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000047,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000048,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000049,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000050,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000051,1,p1,1,25000
t_demo,demo_20260921_v1,s1,O20260726000052,1,p1,1,25000
