tenant_id,dataset_version_id,store_id,refund_id,order_id,succeeded_at_utc,amount_cents
t_demo,demo_20260921_v1,s1,R2026072600001,O20260726001361,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600002,O20260726001362,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600003,O20260726001363,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600004,O20260726001364,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600005,O20260726001365,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600006,O20260726001366,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600007,O20260726001367,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600008,O20260726001368,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600009,O20260726001369,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600010,O20260726001370,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600011,O20260726001371,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600012,O20260726001372,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600013,O20260726001373,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600014,O20260726001374,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600015,O20260726001375,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600016,O20260726001376,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600017,O20260726001377,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600018,O20260726001378,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600019,O20260726001379,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600020,O20260726001380,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600021,O20260726001381,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600022,O20260726001382,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600023,O20260726001383,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600024,O20260726001384,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600025,O20260726001385,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600026,O20260726001386,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600027,O20260726001387,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600028,O20260726001388,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600029,O20260726001389,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600030,O20260726001390,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600031,O20260726001391,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600032,O20260726001392,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600033,O20260726001393,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600034,O20260726001394,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600035,O20260726001395,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600036,O20260726001396,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600037,O20260726001397,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600038,O20260726001398,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600039,O20260726001399,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600040,O20260726001400,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600041,O20260726001401,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600042,O20260726001402,2026-07-26 12:00:00.000000,16250
t_demo,demo_20260921_v1,s1,R2026072600043,O20260726001403,2026-07-26 12:00:00.000000,16250
