tenant_id,dataset_version_id,store_id,product_id,biz_date,closing_stock,stockout_minutes,quality_status
t_demo,demo_20260921_v1,s1,p1,2026-07-26,120,30,COMPLETE
t_demo,demo_20260921_v1,s1,p2,2026-07-26,120,0,COMPLETE
t_demo,demo_20260921_v1,s1,p1,2026-07-27,120,30,COMPLETE
t_demo,demo_20260921_v1,s1,p2,2026-07-27,120,0,COMPLETE
t_demo,demo_20260921_v1,s1,p1,2026-07-28,120,30,COMPLETE
t_demo,demo_20260921_v1,s1,p2,2026-07-28,120,0,COMPLETE
t_demo,demo_20260921_v1,s1,p1,2026-07-29,120,30,COMPLETE
t_demo,demo_20260921_v1,s1,p2,2026-07-29,120,0,COMPLETE
t_demo,demo_20260921_v1,s1,p1,2026-07-30,120,30,COMPLETE
t_demo,demo_20260921_v1,s1,p2,2026-07-30,120,0,COMPLETE
t_demo,demo_20260921_v1,s1,p1,2026-07-31,120,30,COMPLETE
t_demo,demo_20260921_v1,s1,p2,2026-07-31,120,0,COMPLETE
t_demo,demo_20260921_v1,s1,p1,2026-08-01,120,30,COMPLETE
t_demo,demo_20260921_v1,s1,p2,2026-08-01,120,0,COMPLETE
t_demo,demo_20260921_v1,s1,p1,2026-08-02,120,30,COMPLETE
t_demo,demo_20260921_v1,s1,p2,2026-08-02,120,0,COMPLETE
t_demo,demo_20260921_v1,s1,p1,2026-08-03,120,30,COMPLETE
t_demo,demo_20260921_v1,s1,p2,2026-08-03,120,0,COMPLETE
t_demo,demo_20260921_v1,s1,p1,2026-08-04,120,30,COMPLETE
t_demo,demo_20260921_v1,s1,p2,2026-08-04,120,0,COMPLETE
t_demo,demo_20260921_v1,s1,p1,2026-08-05,120,30,COMPLETE
t_demo,demo_20260921_v1,s1,p2,2026-08-05,120,0,COMPLETE
t_demo,demo_20260921_v1,s1,p1,2026-08-06,120,30,COMPLETE
t_demo,demo_20260921_v1,s1,p2,2026-08-06,120,0,COMPLETE
t_demo,demo_20260921_v1,s1,p1,2026-08-07,120,30,COMPLETE
t_demo,demo_20260921_v1,s1,p2,2026-08-07,120,0,COMPLETE
t_demo,demo_20260921_v1,s1,p1,2026-08-08,120,30,COMPLETE
t_demo,demo_20260921_v1,s1,p2,2026-08-08,120,0,COMPLETE
t_demo,demo_20260921_v1,s1,p1,2026-08-09,120,30,COMPLETE
t_demo,demo_20260921_v1,s1,p2,2026-08-09,120,0,COMPLETE
t_demo,demo_20260921_v1,s1,p1,2026-08-10,120,30,COMPLETE
t_demo,demo_20260921_v1,s1,p2,2026-08-10,120,0,COMPLETE
t_demo,demo_20260921_v1,s1,p1,2026-08-11,120,30,COMPLETE
t_demo,demo_20260921_v1,s1,p2,2026-08-11,120,0,COMPLETE
t_demo,demo_20260921_v1,s1,p1,2026-08-12,120,30,COMPLETE
